Timestamp,Product Name,Sale Price(USD),Regular Price(USD),Savings(USD)
"2022-04-09, 01:54:41.822527",Apple - AirPods Pro (with Magsafe Charging Case) - White,199.99,219.99,20
"2022-04-09, 01:54:41.823527",Apple - Geek Squad Certified Refurbished AirPods Pro (with Magsafe Charging Case) - White,169.99,249.99,80
"2022-04-09, 01:54:41.823527",Apple - Geek Squad Certified Refurbished AirPods Pro - White,164.99,249.99,85
"2022-04-09, 01:54:41.823527",Apple - Geek Squad Certified Refurbished AirPods with Charging Case (Latest Model) - White,94.99,159.99,65
"2022-04-09, 01:54:41.823527",Apple - Geek Squad Certified Refurbished AirPods (3rd generation) - White,159.99,179.0,19
Timestamp,Product Name,Sale Price(USD),Regular Price(USD),Savings(USD)
"2022-04-09, 02:00:07.567488",Apple - AirPods Pro (with Magsafe Charging Case) - White,199.99,219.99,20
"2022-04-09, 02:00:07.567488",Apple - Geek Squad Certified Refurbished AirPods Pro (with Magsafe Charging Case) - White,169.99,249.99,80
"2022-04-09, 02:00:07.567488",Apple - Geek Squad Certified Refurbished AirPods Pro - White,164.99,249.99,85
"2022-04-09, 02:00:07.567488",Apple - Geek Squad Certified Refurbished AirPods with Charging Case (Latest Model) - White,94.99,159.99,65
"2022-04-09, 02:00:07.567488",Apple - Geek Squad Certified Refurbished AirPods (3rd generation) - White,159.99,179.0,19
